,Unnamed: 0,Canton,InitialPower,MainCategory,PlantCategory,SubCategory,TotalPower
0,0,,0.0,,,,0.0
1,1,BL,8455.01,Other renewable energies,Integrated,Photovoltaic,8949.36
2,2,BL,82823.65,Other renewable energies,Attached,Photovoltaic,85828.54999999999
3,3,BL,0.0,Other renewable energies,,Photovoltaic,0.0
4,4,BL,0.0,Other renewable energies,Continuous power plant,Photovoltaic,0.0
5,5,BL,0.0,Other renewable energies,Drinking water power plant,Photovoltaic,0.0
6,6,BL,0.0,Other renewable energies,Wastewater treatment,Photovoltaic,0.0
7,7,BL,0.0,Other renewable energies,Diversion power plant,Photovoltaic,0.0
8,8,BL,0.0,Other renewable energies,Biomass usage,Photovoltaic,0.0
9,9,BL,0.0,Other renewable energies,Weir plant,Photovoltaic,0.0
10,10,BL,150.69000000000003,Other renewable energies,Freestanding,Photovoltaic,150.69000000000003
11,11,BL,0.0,Other renewable energies,Waste incineration,Photovoltaic,0.0
12,12,BL,0.0,Other renewable energies,Wastewater power plant,Photovoltaic,0.0
13,13,BL,0.0,Other renewable energies,Storage power plant,Photovoltaic,0.0
14,14,BL,0.0,Other renewable energies,Pumped storage power plant,Photovoltaic,0.0
15,15,BL,0.0,Other renewable energies,Integrated,Wind Energy,0.0
16,16,BL,0.0,Other renewable energies,Attached,Wind Energy,0.0
17,17,BL,0.0,Other renewable energies,,Wind Energy,0.0
18,18,BL,0.0,Other renewable energies,Continuous power plant,Wind Energy,0.0
19,19,BL,0.0,Other renewable energies,Drinking water power plant,Wind Energy,0.0
20,20,BL,0.0,Other renewable energies,Wastewater treatment,Wind Energy,0.0
21,21,BL,0.0,Other renewable energies,Diversion power plant,Wind Energy,0.0
22,22,BL,0.0,Other renewable energies,Biomass usage,Wind Energy,0.0
23,23,BL,0.0,Other renewable energies,Weir plant,Wind Energy,0.0
24,24,BL,0.0,Other renewable energies,Freestanding,Wind Energy,0.0
25,25,BL,0.0,Other renewable energies,Waste incineration,Wind Energy,0.0
26,26,BL,0.0,Other renewable energies,Wastewater power plant,Wind Energy,0.0
27,27,BL,0.0,Other renewable energies,Storage power plant,Wind Energy,0.0
28,28,BL,0.0,Other renewable energies,Pumped storage power plant,Wind Energy,0.0
29,29,BL,0.0,Other renewable energies,Integrated,Hydroelectric power,0.0
30,30,BL,0.0,Other renewable energies,Attached,Hydroelectric power,0.0
31,31,BL,0.0,Other renewable energies,,Hydroelectric power,0.0
32,32,BL,0.0,Other renewable energies,Continuous power plant,Hydroelectric power,0.0
33,33,BL,0.0,Other renewable energies,Drinking water power plant,Hydroelectric power,0.0
34,34,BL,0.0,Other renewable energies,Wastewater treatment,Hydroelectric power,0.0
35,35,BL,0.0,Other renewable energies,Diversion power plant,Hydroelectric power,0.0
36,36,BL,0.0,Other renewable energies,Biomass usage,Hydroelectric power,0.0
37,37,BL,0.0,Other renewable energies,Weir plant,Hydroelectric power,0.0
38,38,BL,0.0,Other renewable energies,Freestanding,Hydroelectric power,0.0
39,39,BL,0.0,Other renewable energies,Waste incineration,Hydroelectric power,0.0
40,40,BL,0.0,Other renewable energies,Wastewater power plant,Hydroelectric power,0.0
41,41,BL,0.0,Other renewable energies,Storage power plant,Hydroelectric power,0.0
42,42,BL,0.0,Other renewable energies,Pumped storage power plant,Hydroelectric power,0.0
43,43,BL,0.0,Other renewable energies,Integrated,Biomass,0.0
44,44,BL,0.0,Other renewable energies,Attached,Biomass,0.0
45,45,BL,0.0,Other renewable energies,,Biomass,0.0
46,46,BL,0.0,Other renewable energies,Continuous power plant,Biomass,0.0
47,47,BL,0.0,Other renewable energies,Drinking water power plant,Biomass,0.0
48,48,BL,785.0,Other renewable energies,Wastewater treatment,Biomass,785.0
49,49,BL,0.0,Other renewable energies,Diversion power plant,Biomass,0.0
50,50,BL,710.0,Other renewable energies,Biomass usage,Biomass,710.0
51,51,BL,0.0,Other renewable energies,Weir plant,Biomass,0.0
52,52,BL,0.0,Other renewable energies,Freestanding,Biomass,0.0
53,53,BL,0.0,Other renewable energies,Waste incineration,Biomass,0.0
54,54,BL,0.0,Other renewable energies,Wastewater power plant,Biomass,0.0
55,55,BL,0.0,Other renewable energies,Storage power plant,Biomass,0.0
56,56,BL,0.0,Other renewable energies,Pumped storage power plant,Biomass,0.0
57,57,BL,0.0,Other renewable energies,Integrated,Waste,0.0
58,58,BL,0.0,Other renewable energies,Attached,Waste,0.0
59,59,BL,0.0,Other renewable energies,,Waste,0.0
60,60,BL,0.0,Other renewable energies,Continuous power plant,Waste,0.0
61,61,BL,0.0,Other renewable energies,Drinking water power plant,Waste,0.0
62,62,BL,0.0,Other renewable energies,Wastewater treatment,Waste,0.0
63,63,BL,0.0,Other renewable energies,Diversion power plant,Waste,0.0
64,64,BL,0.0,Other renewable energies,Biomass usage,Waste,0.0
65,65,BL,0.0,Other renewable energies,Weir plant,Waste,0.0
66,66,BL,0.0,Other renewable energies,Freestanding,Waste,0.0
67,67,BL,0.0,Other renewable energies,Waste incineration,Waste,0.0
68,68,BL,0.0,Other renewable energies,Wastewater power plant,Waste,0.0
69,69,BL,0.0,Other renewable energies,Storage power plant,Waste,0.0
70,70,BL,0.0,Other renewable energies,Pumped storage power plant,Waste,0.0
71,71,BL,0.0,Other renewable energies,Integrated,Natural gas,0.0
72,72,BL,0.0,Other renewable energies,Attached,Natural gas,0.0
73,73,BL,0.0,Other renewable energies,,Natural gas,0.0
74,74,BL,0.0,Other renewable energies,Continuous power plant,Natural gas,0.0
75,75,BL,0.0,Other renewable energies,Drinking water power plant,Natural gas,0.0
76,76,BL,0.0,Other renewable energies,Wastewater treatment,Natural gas,0.0
77,77,BL,0.0,Other renewable energies,Diversion power plant,Natural gas,0.0
78,78,BL,0.0,Other renewable energies,Biomass usage,Natural gas,0.0
79,79,BL,0.0,Other renewable energies,Weir plant,Natural gas,0.0
80,80,BL,0.0,Other renewable energies,Freestanding,Natural gas,0.0
81,81,BL,0.0,Other renewable energies,Waste incineration,Natural gas,0.0
82,82,BL,0.0,Other renewable energies,Wastewater power plant,Natural gas,0.0
83,83,BL,0.0,Other renewable energies,Storage power plant,Natural gas,0.0
84,84,BL,0.0,Other renewable energies,Pumped storage power plant,Natural gas,0.0
85,85,BL,0.0,Other renewable energies,Integrated,Nuclear energy,0.0
86,86,BL,0.0,Other renewable energies,Attached,Nuclear energy,0.0
87,87,BL,0.0,Other renewable energies,,Nuclear energy,0.0
88,88,BL,0.0,Other renewable energies,Continuous power plant,Nuclear energy,0.0
89,89,BL,0.0,Other renewable energies,Drinking water power plant,Nuclear energy,0.0
90,90,BL,0.0,Other renewable energies,Wastewater treatment,Nuclear energy,0.0
91,91,BL,0.0,Other renewable energies,Diversion power plant,Nuclear energy,0.0
92,92,BL,0.0,Other renewable energies,Biomass usage,Nuclear energy,0.0
93,93,BL,0.0,Other renewable energies,Weir plant,Nuclear energy,0.0
94,94,BL,0.0,Other renewable energies,Freestanding,Nuclear energy,0.0
95,95,BL,0.0,Other renewable energies,Waste incineration,Nuclear energy,0.0
96,96,BL,0.0,Other renewable energies,Wastewater power plant,Nuclear energy,0.0
97,97,BL,0.0,Other renewable energies,Storage power plant,Nuclear energy,0.0
98,98,BL,0.0,Other renewable energies,Pumped storage power plant,Nuclear energy,0.0
99,99,BL,0.0,Other renewable energies,Integrated,Crude oil,0.0
100,100,BL,0.0,Other renewable energies,Attached,Crude oil,0.0
101,101,BL,0.0,Other renewable energies,,Crude oil,0.0
102,102,BL,0.0,Other renewable energies,Continuous power plant,Crude oil,0.0
103,103,BL,0.0,Other renewable energies,Drinking water power plant,Crude oil,0.0
104,104,BL,0.0,Other renewable energies,Wastewater treatment,Crude oil,0.0
105,105,BL,0.0,Other renewable energies,Diversion power plant,Crude oil,0.0
106,106,BL,0.0,Other renewable energies,Biomass usage,Crude oil,0.0
107,107,BL,0.0,Other renewable energies,Weir plant,Crude oil,0.0
108,108,BL,0.0,Other renewable energies,Freestanding,Crude oil,0.0
109,109,BL,0.0,Other renewable energies,Waste incineration,Crude oil,0.0
110,110,BL,0.0,Other renewable energies,Wastewater power plant,Crude oil,0.0
111,111,BL,0.0,Other renewable energies,Storage power plant,Crude oil,0.0
112,112,BL,0.0,Other renewable energies,Pumped storage power plant,Crude oil,0.0
113,113,BL,0.0,Hydroelectric power,Integrated,Photovoltaic,0.0
114,114,BL,0.0,Hydroelectric power,Attached,Photovoltaic,0.0
115,115,BL,0.0,Hydroelectric power,,Photovoltaic,0.0
116,116,BL,0.0,Hydroelectric power,Continuous power plant,Photovoltaic,0.0
117,117,BL,0.0,Hydroelectric power,Drinking water power plant,Photovoltaic,0.0
118,118,BL,0.0,Hydroelectric power,Wastewater treatment,Photovoltaic,0.0
119,119,BL,0.0,Hydroelectric power,Diversion power plant,Photovoltaic,0.0
120,120,BL,0.0,Hydroelectric power,Biomass usage,Photovoltaic,0.0
121,121,BL,0.0,Hydroelectric power,Weir plant,Photovoltaic,0.0
122,122,BL,0.0,Hydroelectric power,Freestanding,Photovoltaic,0.0
123,123,BL,0.0,Hydroelectric power,Waste incineration,Photovoltaic,0.0
124,124,BL,0.0,Hydroelectric power,Wastewater power plant,Photovoltaic,0.0
125,125,BL,0.0,Hydroelectric power,Storage power plant,Photovoltaic,0.0
126,126,BL,0.0,Hydroelectric power,Pumped storage power plant,Photovoltaic,0.0
127,127,BL,0.0,Hydroelectric power,Integrated,Wind Energy,0.0
128,128,BL,0.0,Hydroelectric power,Attached,Wind Energy,0.0
129,129,BL,0.0,Hydroelectric power,,Wind Energy,0.0
130,130,BL,0.0,Hydroelectric power,Continuous power plant,Wind Energy,0.0
131,131,BL,0.0,Hydroelectric power,Drinking water power plant,Wind Energy,0.0
132,132,BL,0.0,Hydroelectric power,Wastewater treatment,Wind Energy,0.0
133,133,BL,0.0,Hydroelectric power,Diversion power plant,Wind Energy,0.0
134,134,BL,0.0,Hydroelectric power,Biomass usage,Wind Energy,0.0
135,135,BL,0.0,Hydroelectric power,Weir plant,Wind Energy,0.0
136,136,BL,0.0,Hydroelectric power,Freestanding,Wind Energy,0.0
137,137,BL,0.0,Hydroelectric power,Waste incineration,Wind Energy,0.0
138,138,BL,0.0,Hydroelectric power,Wastewater power plant,Wind Energy,0.0
139,139,BL,0.0,Hydroelectric power,Storage power plant,Wind Energy,0.0
140,140,BL,0.0,Hydroelectric power,Pumped storage power plant,Wind Energy,0.0
141,141,BL,0.0,Hydroelectric power,Integrated,Hydroelectric power,0.0
142,142,BL,0.0,Hydroelectric power,Attached,Hydroelectric power,0.0
143,143,BL,0.0,Hydroelectric power,,Hydroelectric power,0.0
144,144,BL,129135.0,Hydroelectric power,Continuous power plant,Hydroelectric power,129135.0
145,145,BL,6.0,Hydroelectric power,Drinking water power plant,Hydroelectric power,6.0
146,146,BL,0.0,Hydroelectric power,Wastewater treatment,Hydroelectric power,0.0
147,147,BL,1235.0,Hydroelectric power,Diversion power plant,Hydroelectric power,1235.0
148,148,BL,0.0,Hydroelectric power,Biomass usage,Hydroelectric power,0.0
149,149,BL,0.0,Hydroelectric power,Weir plant,Hydroelectric power,0.0
150,150,BL,0.0,Hydroelectric power,Freestanding,Hydroelectric power,0.0
151,151,BL,0.0,Hydroelectric power,Waste incineration,Hydroelectric power,0.0
152,152,BL,0.0,Hydroelectric power,Wastewater power plant,Hydroelectric power,0.0
153,153,BL,0.0,Hydroelectric power,Storage power plant,Hydroelectric power,0.0
154,154,BL,0.0,Hydroelectric power,Pumped storage power plant,Hydroelectric power,0.0
155,155,BL,0.0,Hydroelectric power,Integrated,Biomass,0.0
156,156,BL,0.0,Hydroelectric power,Attached,Biomass,0.0
157,157,BL,0.0,Hydroelectric power,,Biomass,0.0
158,158,BL,0.0,Hydroelectric power,Continuous power plant,Biomass,0.0
159,159,BL,0.0,Hydroelectric power,Drinking water power plant,Biomass,0.0
160,160,BL,0.0,Hydroelectric power,Wastewater treatment,Biomass,0.0
161,161,BL,0.0,Hydroelectric power,Diversion power plant,Biomass,0.0
162,162,BL,0.0,Hydroelectric power,Biomass usage,Biomass,0.0
163,163,BL,0.0,Hydroelectric power,Weir plant,Biomass,0.0
164,164,BL,0.0,Hydroelectric power,Freestanding,Biomass,0.0
165,165,BL,0.0,Hydroelectric power,Waste incineration,Biomass,0.0
166,166,BL,0.0,Hydroelectric power,Wastewater power plant,Biomass,0.0
167,167,BL,0.0,Hydroelectric power,Storage power plant,Biomass,0.0
168,168,BL,0.0,Hydroelectric power,Pumped storage power plant,Biomass,0.0
169,169,BL,0.0,Hydroelectric power,Integrated,Waste,0.0
170,170,BL,0.0,Hydroelectric power,Attached,Waste,0.0
171,171,BL,0.0,Hydroelectric power,,Waste,0.0
172,172,BL,0.0,Hydroelectric power,Continuous power plant,Waste,0.0
173,173,BL,0.0,Hydroelectric power,Drinking water power plant,Waste,0.0
174,174,BL,0.0,Hydroelectric power,Wastewater treatment,Waste,0.0
175,175,BL,0.0,Hydroelectric power,Diversion power plant,Waste,0.0
176,176,BL,0.0,Hydroelectric power,Biomass usage,Waste,0.0
177,177,BL,0.0,Hydroelectric power,Weir plant,Waste,0.0
178,178,BL,0.0,Hydroelectric power,Freestanding,Waste,0.0
179,179,BL,0.0,Hydroelectric power,Waste incineration,Waste,0.0
180,180,BL,0.0,Hydroelectric power,Wastewater power plant,Waste,0.0
181,181,BL,0.0,Hydroelectric power,Storage power plant,Waste,0.0
182,182,BL,0.0,Hydroelectric power,Pumped storage power plant,Waste,0.0
183,183,BL,0.0,Hydroelectric power,Integrated,Natural gas,0.0
184,184,BL,0.0,Hydroelectric power,Attached,Natural gas,0.0
185,185,BL,0.0,Hydroelectric power,,Natural gas,0.0
186,186,BL,0.0,Hydroelectric power,Continuous power plant,Natural gas,0.0
187,187,BL,0.0,Hydroelectric power,Drinking water power plant,Natural gas,0.0
188,188,BL,0.0,Hydroelectric power,Wastewater treatment,Natural gas,0.0
189,189,BL,0.0,Hydroelectric power,Diversion power plant,Natural gas,0.0
190,190,BL,0.0,Hydroelectric power,Biomass usage,Natural gas,0.0
191,191,BL,0.0,Hydroelectric power,Weir plant,Natural gas,0.0
192,192,BL,0.0,Hydroelectric power,Freestanding,Natural gas,0.0
193,193,BL,0.0,Hydroelectric power,Waste incineration,Natural gas,0.0
194,194,BL,0.0,Hydroelectric power,Wastewater power plant,Natural gas,0.0
195,195,BL,0.0,Hydroelectric power,Storage power plant,Natural gas,0.0
196,196,BL,0.0,Hydroelectric power,Pumped storage power plant,Natural gas,0.0
197,197,BL,0.0,Hydroelectric power,Integrated,Nuclear energy,0.0
198,198,BL,0.0,Hydroelectric power,Attached,Nuclear energy,0.0
199,199,BL,0.0,Hydroelectric power,,Nuclear energy,0.0
200,200,BL,0.0,Hydroelectric power,Continuous power plant,Nuclear energy,0.0
201,201,BL,0.0,Hydroelectric power,Drinking water power plant,Nuclear energy,0.0
202,202,BL,0.0,Hydroelectric power,Wastewater treatment,Nuclear energy,0.0
203,203,BL,0.0,Hydroelectric power,Diversion power plant,Nuclear energy,0.0
204,204,BL,0.0,Hydroelectric power,Biomass usage,Nuclear energy,0.0
205,205,BL,0.0,Hydroelectric power,Weir plant,Nuclear energy,0.0
206,206,BL,0.0,Hydroelectric power,Freestanding,Nuclear energy,0.0
207,207,BL,0.0,Hydroelectric power,Waste incineration,Nuclear energy,0.0
208,208,BL,0.0,Hydroelectric power,Wastewater power plant,Nuclear energy,0.0
209,209,BL,0.0,Hydroelectric power,Storage power plant,Nuclear energy,0.0
210,210,BL,0.0,Hydroelectric power,Pumped storage power plant,Nuclear energy,0.0
211,211,BL,0.0,Hydroelectric power,Integrated,Crude oil,0.0
212,212,BL,0.0,Hydroelectric power,Attached,Crude oil,0.0
213,213,BL,0.0,Hydroelectric power,,Crude oil,0.0
214,214,BL,0.0,Hydroelectric power,Continuous power plant,Crude oil,0.0
215,215,BL,0.0,Hydroelectric power,Drinking water power plant,Crude oil,0.0
216,216,BL,0.0,Hydroelectric power,Wastewater treatment,Crude oil,0.0
217,217,BL,0.0,Hydroelectric power,Diversion power plant,Crude oil,0.0
218,218,BL,0.0,Hydroelectric power,Biomass usage,Crude oil,0.0
219,219,BL,0.0,Hydroelectric power,Weir plant,Crude oil,0.0
220,220,BL,0.0,Hydroelectric power,Freestanding,Crude oil,0.0
221,221,BL,0.0,Hydroelectric power,Waste incineration,Crude oil,0.0
222,222,BL,0.0,Hydroelectric power,Wastewater power plant,Crude oil,0.0
223,223,BL,0.0,Hydroelectric power,Storage power plant,Crude oil,0.0
224,224,BL,0.0,Hydroelectric power,Pumped storage power plant,Crude oil,0.0
225,225,BL,0.0,Fossil fuel,Integrated,Photovoltaic,0.0
226,226,BL,0.0,Fossil fuel,Attached,Photovoltaic,0.0
227,227,BL,0.0,Fossil fuel,,Photovoltaic,0.0
228,228,BL,0.0,Fossil fuel,Continuous power plant,Photovoltaic,0.0
229,229,BL,0.0,Fossil fuel,Drinking water power plant,Photovoltaic,0.0
230,230,BL,0.0,Fossil fuel,Wastewater treatment,Photovoltaic,0.0
231,231,BL,0.0,Fossil fuel,Diversion power plant,Photovoltaic,0.0
232,232,BL,0.0,Fossil fuel,Biomass usage,Photovoltaic,0.0
